"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"39","Alex Pietrangelo","VGK","D","41","756.08333333333","791","714","52.56","574","515","52.71","421","366","53.49","43","30","58.90","32.47","30.8","51.32","397","344","53.58","162","138","54.00","25","15","62.50","235","206","53.29","12","10","54.55","324","306","51.43","5","5","50.00","10.21","91.80","1.020","104","155","87","502","54.45","238","244","199","54.46"
"10","Alexander Edler","VAN","D","52","852.78333333333","727","881","45.21","580","645","47.35","440","470","48.35","33","44","42.86","30.91","35.5","46.54","323","451","41.73","136","141","49.10","15","25","37.50","187","310","37.63","14","15","48.28","330","373","46.94","4","4","50.00","7.50","90.64","0.981","60","217","159","609","27.40","165","312","354","31.79"
"296","Alexander Romanov","MTL","D","54","822.15","816","677","54.66","570","499","53.32","405","352","53.50","33","33","50.00","29.35","27.04","52.05","391","327","54.46","135","138","49.45","24","18","57.14","256","189","57.53","7","11","38.89","370","295","55.64","2","4","33.33","8.15","90.63","0.988","92","135","58","644","61.33","235","239","157","59.95"
"213","Alexandre Carrier","NSH","D","19","325.03333333333","294","288","50.52","227","222","50.56","156","163","48.90","10","7","58.82","11.01","10.27","51.74","125","128","49.41","48","40","54.55","5","4","55.56","77","88","46.67","3","2","60.00","148","144","50.68","2","1","66.67","6.41","95.71","1.021","36","73","45","261","44.44","103","108","107","49.05"
"268","Andreas Borgman","T.B","D","7","80.2","77","68","53.10","57","56","50.44","40","44","47.62","4","5","44.44","3.44","2.74","55.65","43","37","53.75","17","15","53.13","4","5","44.44","26","22","54.17","0","0","-","26","23","53.06","0","0","-","10.00","88.64","0.986","17","10","6","73","73.91","25","15","10","71.43"
"9","Andrej Sekera","DAL","D","46","585.73333333333","489","469","51.04","348","345","50.22","262","253","50.87","28","19","59.57","19.29","18.6","50.91","222","221","50.11","86","75","53.42","18","5","78.26","136","146","48.23","7","7","50.00","225","199","53.07","3","7","30.00","10.69","92.49","1.032","79","141","60","531","56.83","141","194","137","50.72"
"231","Andrew Peeke","CBJ","D","11","183.23333333333","145","191","43.15","117","140","45.53","84","102","45.16","5","11","31.25","6.89","8.16","45.77","62","81","43.36","29","28","50.88","4","6","40.00","33","53","38.37","1","3","25.00","72","100","41.86","0","2","0.00","5.95","89.22","0.952","19","30","29","150","39.58","45","41","57","44.12"
"19","Andy Greene","NYI","D","55","843.86666666667","699","797","46.72","526","573","47.86","379","426","47.08","30","22","57.69","28.7","30.9","48.15","324","381","45.96","144","134","51.80","20","11","64.52","180","247","42.15","7","7","50.00","334","356","48.41","3","4","42.86","7.92","94.84","1.028","127","165","76","759","62.56","253","237","198","56.10"
"101","Andy Welinski","ANA","D","13","174.55","147","158","48.20","110","127","46.41","67","92","42.14","9","5","64.29","5.41","7.21","42.87","60","78","43.48","27","30","47.37","7","5","58.33","33","48","40.74","1","0","100.00","73","70","51.05","1","0","100.00","13.43","94.57","1.080","38","26","29","121","56.72","77","44","50","60.63"
"93","Anthony Bitetto","NYR","D","14","186","135","202","40.06","103","158","39.46","72","114","38.71","6","13","31.58","6.18","8.26","42.80","72","95","43.11","36","51","41.38","5","7","41.67","36","44","45.00","1","3","25.00","47","99","32.19","0","3","0.00","8.33","88.60","0.969","32","30","25","162","56.14","55","54","53","50.93"
"18","Anton Stralman","FLA","D","38","596.78333333333","512","540","48.67","394","422","48.28","305","318","48.96","21","24","46.67","22.62","22.91","49.68","239","232","50.74","89","91","49.44","12","17","41.38","150","141","51.55","6","5","54.55","242","262","48.02","3","2","60.00","6.89","92.45","0.993","102","150","82","441","55.43","169","213","174","49.27"
"313","Artem Zub","OTT","D","47","745.08333333333","651","687","48.65","494","510","49.20","343","371","48.04","39","37","51.32","25.29","27.69","47.73","315","331","48.76","116","130","47.15","25","16","60.98","199","201","49.75","10","17","37.04","282","301","48.37","4","4","50.00","11.37","90.03","1.014","57","141","100","659","36.31","149","204","226","39.73"
"277","Austin Strand","L.A","D","13","172.11666666667","133","153","46.50","108","111","49.32","83","81","50.61","9","8","52.94","7.02","7.31","48.97","70","77","47.62","35","35","50.00","8","4","66.67","35","42","45.45","1","4","20.00","51","65","43.97","0","0","-","10.84","90.12","1.010","14","25","13","158","51.85","41","40","34","54.67"
"75","Ben Chiarot","MTL","D","41","726.76666666667","703","628","52.82","511","473","51.93","369","332","52.64","22","33","40.00","25.57","23.45","52.16","320","285","52.89","122","111","52.36","12","19","38.71","198","174","53.23","7","11","38.89","334","286","53.87","3","3","50.00","5.96","90.06","0.960","89","178","86","447","50.86","218","252","227","48.99"
"154","Ben Harpur","NSH","D","34","490.91666666667","347","449","43.59","289","348","45.37","210","262","44.49","19","16","54.29","15.25","18.89","44.67","170","201","45.82","74","96","43.53","13","10","56.52","96","105","47.76","4","4","50.00","158","220","41.80","2","2","50.00","9.05","93.89","1.029","45","86","53","451","45.92","110","151","130","45.83"
"139","Ben Hutton","ANA, TOR","D","38","594.5","495","566","46.65","376","432","46.53","270","315","46.15","14","30","31.82","19.94","25.72","43.67","230","285","44.66","92","126","42.20","6","13","31.58","138","159","46.46","6","11","35.29","220","251","46.71","2","6","25.00","5.19","90.48","0.957","50","117","101","497","33.11","118","161","190","38.31"
"183","Ben Thomas","T.B","D","5","65.683333333333","64","51","55.65","53","39","57.61","41","24","63.08","5","4","55.56","3.05","2.07","59.59","32","29","52.46","16","7","69.57","3","2","60.00","16","22","42.11","0","1","0.00","28","20","58.33","2","1","66.67","12.20","83.33","0.955","9","8","8","57","52.94","23","13","9","71.88"
"302","Bowen Byram","COL","D","19","306.05","302","233","56.45","214","173","55.30","153","120","56.04","11","9","55.00","11.41","10.21","52.77","136","116","53.97","44","46","48.89","4","5","44.44","92","70","56.79","4","3","57.14","149","96","60.82","3","1","75.00","7.19","92.50","0.997","54","57","26","241","67.50","107","89","74","59.12"
"114","Brad Hunt","MIN","D","12","123.13333333333","82","114","41.84","71","88","44.65","46","60","43.40","2","10","16.67","3.31","3.97","45.46","37","51","42.05","19","13","59.38","1","2","33.33","18","38","32.14","0","6","0.00","38","54","41.30","1","2","33.33","4.35","83.33","0.877","11","25","17","104","39.29","27","34","43","38.57"
"300","Brady Keeper","FLA","D","1","7.2","2","9","18.18","1","5","16.67","0","4","0.00","0","0","-","0.02","0.55","4.06","0","7","0.00","0","5","0.00","0","0","-","0","2","0.00","0","0","-","2","2","50.00","0","0","-","-","100.00","1.00","2","3","0","6","100.00","3","4","0","100.00"
"121","Brady Skjei","CAR","D","52","898.66666666667","816","730","52.78","627","567","52.51","449","417","51.85","32","28","53.33","37.47","33.35","52.91","379","361","51.22","169","154","52.32","22","19","53.66","210","207","50.36","7","5","58.33","371","317","53.92","3","4","42.86","7.13","93.29","1.004","115","192","145","610","44.23","289","303","327","46.92"
"194","Brandon Carlo","BOS","D","27","415.55","422","315","57.26","326","246","56.99","224","168","57.14","15","17","46.88","13.97","13.2","51.42","180","160","52.94","60","58","50.85","7","12","36.84","120","102","54.05","6","4","60.00","210","130","61.76","2","1","66.67","6.70","89.88","0.966","42","61","44","409","48.84","106","101","105","50.24"
"94","Brandon Davidson","BUF","D","6","83.366666666667","70","61","53.44","58","53","52.25","47","40","54.02","0","4","0.00","2.36","3.28","41.83","30","27","52.63","8","17","32.00","0","3","0.00","22","10","68.75","0","1","0.00","34","31","52.31","0","0","-","0.00","90.00","0.900","8","17","15","72","34.78","26","22","31","45.61"
"177","Brandon Montour","BUF, FLA","D","50","880.95","799","823","49.26","631","644","49.49","469","473","49.79","34","37","47.89","32.87","35.93","47.77","373","379","49.60","159","171","48.18","20","22","47.62","214","208","50.71","9","7","56.25","382","405","48.54","5","8","38.46","7.25","92.18","0.994","115","146","105","626","52.27","242","222","232","51.05"
"67","Brayden McNabb","VGK","D","41","669.86666666667","618","548","53.00","452","392","53.55","307","271","53.11","28","24","53.85","26.04","23.97","52.07","320","259","55.27","115","118","49.36","10","18","35.71","205","141","59.25","12","4","75.00","254","240","51.42","5","2","71.43","9.12","91.14","1.003","95","145","77","503","55.23","192","223","186","50.79"
"4","Braydon Coburn","NYI, OTT","D","19","250.08333333333","212","281","43.00","165","200","45.21","117","151","43.66","9","13","40.91","9.01","11.35","44.25","88","129","40.55","47","51","47.96","7","6","53.85","41","78","34.45","1","4","20.00","103","130","44.21","1","3","25.00","7.69","91.39","0.991","28","56","30","236","48.28","56","81","85","39.72"
"29","Brendan Smith","NYR","D","48","703.48333333333","555","654","45.91","429","499","46.23","328","368","47.13","40","35","53.33","22.49","27.3","45.17","262","314","45.49","94","129","42.15","20","21","48.78","168","185","47.59","10","9","52.63","254","294","46.35","10","5","66.67","12.20","90.49","1.027","91","113","71","634","56.17","200","201","182","52.36"
"77","Brenden Dillon","WSH","D","56","929.81666666667","822","809","50.40","627","611","50.65","444","432","50.68","51","40","56.04","33.27","31.26","51.56","383","354","51.97","150","135","52.63","28","24","53.85","233","219","51.55","15","13","53.57","379","385","49.61","8","3","72.73","11.49","90.74","1.022","160","222","112","653","58.82","314","346","270","53.77"
"5","Brent Burns","S.J","D","56","1067.7166666667","977","1048","48.25","726","781","48.18","538","561","48.95","45","53","45.92","44.93","43","51.09","515","494","51.04","218","203","51.78","31","28","52.54","297","291","50.51","10","15","40.00","392","482","44.85","4","10","28.57","8.36","90.55","0.989","105","222","154","756","40.54","244","374","350","41.08"
"136","Brett Kulak","MTL","D","46","725.6","712","552","56.33","511","394","56.46","376","281","57.23","26","23","53.06","26","23.14","52.92","327","267","55.05","125","116","51.87","16","15","51.61","202","151","57.22","6","7","46.15","335","239","58.36","4","1","80.00","6.91","91.81","0.987","101","132","74","545","57.71","246","203","157","61.04"
"160","Brett Pesce","CAR","D","55","984.36666666667","963","810","54.31","726","625","53.74","508","458","52.59","41","29","58.57","45.65","35.21","56.46","468","401","53.86","214","169","55.87","27","19","58.70","254","232","52.26","8","8","50.00","414","353","53.98","5","2","71.43","8.07","93.67","1.017","118","215","161","613","42.29","317","345","357","47.03"
"70","Brian Dumoulin","PIT","D","41","761.41666666667","653","651","50.08","498","521","48.87","370","382","49.20","34","24","58.62","27.1","27.32","49.80","317","296","51.71","116","121","48.95","17","15","53.13","201","175","53.46","8","6","57.14","301","313","49.02","8","3","72.73","9.19","93.72","1.029","134","218","82","468","62.04","289","312","232","55.47"
"315","Brinson Pasichnuk","S.J","D","4","46.083333333333","27","46","36.99","20","35","36.36","14","23","37.84","2","3","40.00","1.12","2.47","31.25","16","23","41.03","4","10","28.57","1","0","100.00","12","13","48.00","1","2","33.33","10","20","33.33","0","1","0.00","14.29","86.96","1.012","4","12","10","41","28.57","8","18","22","26.67"
"301","Brogan Rafferty","VAN","D","1","10.366666666667","8","11","42.11","8","8","50.00","5","7","41.67","1","2","33.33","0.44","0.66","40.07","5","6","45.45","3","3","50.00","1","2","33.33","2","3","40.00","0","0","-","3","4","42.86","0","0","-","20.00","71.43","0.914","1","0","3","9","25.00","1","2","4","20.00"
"255","Cal Foote","T.B","D","35","423.06666666667","351","363","49.16","273","268","50.46","209","209","50.00","22","12","64.71","14.83","14.43","50.69","177","203","46.58","62","78","44.29","14","5","73.68","115","125","47.92","4","5","44.44","156","134","53.79","4","2","66.67","10.53","94.26","1.048","80","97","49","327","62.02","145","140","107","57.54"
"264","Cale Makar","COL","D","44","802.78333333333","887","570","60.88","637","439","59.20","451","314","58.95","49","30","62.03","37.44","23.18","61.77","429","266","61.73","170","110","60.71","21","14","60.00","259","156","62.41","18","14","56.25","404","253","61.49","10","2","83.33","10.86","90.45","1.013","157","184","94","541","62.55","342","312","190","64.29"
"196","Caleb Jones","EDM","D","33","423.58333333333","336","347","49.19","252","251","50.10","181","178","50.42","11","18","37.93","14.3","14.28","50.04","150","185","44.78","65","68","48.87","5","7","41.67","85","117","42.08","4","8","33.33","163","143","53.27","2","3","40.00","6.08","89.89","0.960","52","63","44","364","54.17","112","98","93","54.63"
"292","Calen Addison","MIN","D","3","45.65","40","47","45.98","31","38","44.93","23","25","47.92","2","1","66.67","2.13","1.85","53.52","23","20","53.49","12","9","57.14","1","1","50.00","11","11","50.00","1","0","100.00","14","27","34.15","0","0","-","8.70","96.00","1.047","11","8","4","30","73.33","19","11","8","70.37"
"63","Calvin de Haan","CHI","D","44","700.85","607","613","49.75","443","452","49.50","339","345","49.56","22","40","35.48","24.27","26.44","47.85","289","312","48.09","102","124","45.13","11","27","28.95","187","188","49.87","7","9","43.75","271","247","52.32","4","4","50.00","6.49","88.41","0.949","72","138","99","554","42.11","199","212","220","47.49"
"88","Cam Fowler","ANA","D","56","956.35","856","798","51.75","608","609","49.96","425","443","48.96","44","39","53.01","34.12","35.83","48.77","419","405","50.85","160","182","46.78","25","28","47.17","259","223","53.73","14","9","60.87","366","345","51.48","5","2","71.43","10.35","91.20","1.015","151","191","155","716","49.35","330","279","308","51.72"
"303","Cam York","PHI","D","3","48.783333333333","46","60","43.40","30","42","41.67","19","32","37.25","1","2","33.33","1.12","2.32","32.45","16","22","42.11","6","13","31.58","0","2","0.00","10","9","52.63","0","0","-","24","29","45.28","1","0","100.00","5.26","93.75","0.990","8","6","7","43","53.33","14","10","14","50.00"
"30","Carl Gunnarsson","STL","D","12","140.25","102","136","42.86","75","104","41.90","56","76","42.42","5","8","38.46","3.48","5.39","39.20","42","55","43.30","16","26","38.10","1","6","14.29","26","29","47.27","2","2","50.00","51","70","42.15","2","0","100.00","8.93","89.47","0.984","11","30","18","144","37.93","26","47","36","41.94"
"152","Carson Soucy","MIN","D","50","697.43333333333","516","697","42.54","411","513","44.48","302","346","46.60","39","19","67.24","23.19","24","49.13","239","281","45.96","105","90","53.85","21","9","70.00","134","191","41.23","14","6","70.00","240","348","40.82","4","4","50.00","12.91","94.51","1.074","53","134","130","541","28.96","145","226","272","34.77"
"145","Chad Ruhwedel","PIT","D","17","215.98333333333","190","163","53.82","140","117","54.47","102","90","53.13","8","6","57.14","6.96","5.69","55.04","83","68","54.97","32","21","60.38","5","4","55.56","51","47","52.04","2","2","50.00","96","86","52.75","1","0","100.00","7.84","93.33","1.012","18","32","27","227","40.00","45","44","59","43.27"
"225","Charlie McAvoy","BOS","D","51","926.73333333333","987","700","58.51","777","532","59.36","571","363","61.13","50","32","60.98","40.19","28.12","58.84","472","340","58.13","174","129","57.43","23","19","54.76","298","211","58.55","14","9","60.87","466","318","59.44","12","4","75.00","8.76","91.18","0.999","149","176","137","665","52.10","359","266","293","55.06"
"140","Christian Djoos","DET","D","36","432.06666666667","357","394","47.54","278","304","47.77","211","231","47.74","12","21","36.36","14.87","15.99","48.19","166","192","46.37","66","74","47.14","6","12","33.33","100","118","45.87","3","7","30.00","154","168","47.83","3","2","60.00","5.69","90.91","0.966","69","92","26","410","72.63","156","139","73","68.12"
"215","Christian Jaros","S.J","D","7","75.5","57","74","43.51","44","52","45.83","31","37","45.59","2","6","25.00","2.39","3.09","43.65","30","38","44.12","11","16","40.74","2","6","25.00","19","22","46.34","0","0","-","20","28","41.67","0","0","-","6.45","83.78","0.902","13","15","9","73","59.09","24","24","17","58.54"
"212","Christian Wolanin","L.A, OTT","D","18","209.5","217","202","51.79","162","157","50.78","110","111","49.77","10","14","41.67","9","9.16","49.57","110","95","53.66","43","42","50.59","8","6","57.14","67","53","55.83","1","5","16.67","89","95","48.37","1","2","33.33","9.09","87.39","0.965","34","40","23","176","59.65","65","64","52","55.56"
"81","Christopher Tanev","CGY","D","56","987.31666666667","888","707","55.67","692","516","57.28","492","367","57.28","38","23","62.30","37.97","24.15","61.12","447","316","58.58","177","104","62.99","22","15","59.46","270","212","56.02","12","7","63.16","383","327","53.94","3","1","75.00","7.72","93.73","1.015","127","217","159","809","44.41","305","324","311","49.51"
"124","Cody Ceci","PIT","D","53","826.68333333333","685","733","48.31","521","556","48.38","391","417","48.39","41","28","59.42","28.24","29.78","48.67","320","342","48.34","128","136","48.48","27","15","64.29","192","206","48.24","9","10","47.37","308","347","47.02","5","3","62.50","10.49","93.29","1.038","106","126","96","683","52.48","225","203","225","50.00"
"113","Colin Miller","BUF","D","48","755.28333333333","625","662","48.56","483","515","48.40","341","374","47.69","21","37","36.21","23.28","28.66","44.82","263","317","45.34","107","131","44.96","11","21","34.38","156","186","45.61","4","9","30.77","315","318","49.76","6","7","46.15","6.16","90.11","0.963","88","114","80","588","52.38","211","192","212","49.88"
"128","Colton Parayko","STL","D","32","567.65","460","530","46.46","342","387","46.91","268","284","48.55","20","25","44.44","18.15","21.21","46.10","210","236","47.09","81","88","47.93","11","15","42.31","129","148","46.57","7","5","58.33","206","249","45.27","2","5","28.57","7.46","91.20","0.987","73","138","76","439","48.99","174","185","171","50.43"
"211","Colton White","N.J","D","2","28.05","27","24","52.94","22","19","53.66","17","12","58.62","0","1","0.00","0.99","0.9","52.34","11","9","55.00","3","3","50.00","0","1","0.00","8","6","57.14","0","0","-","15","14","51.72","0","0","-","0.00","91.67","0.917","3","4","2","34","60.00","9","5","11","45.00"
"134","Connor Carrick","N.J","D","11","190.61666666667","127","216","37.03","99","163","37.79","70","117","37.43","7","11","38.89","5.27","8.12","39.36","69","94","42.33","30","30","50.00","4","3","57.14","39","64","37.86","1","5","16.67","51","108","32.08","2","2","50.00","10.00","90.60","1.006","17","52","30","134","36.17","46","68","58","44.23"
"151","Connor Clifton","BOS","D","44","717.8","595","600","49.79","459","445","50.77","335","317","51.38","27","20","57.45","21","21.6","49.30","242","268","47.45","84","97","46.41","13","12","52.00","158","171","48.02","11","6","64.71","307","296","50.91","3","2","60.00","8.06","93.69","1.018","67","137","84","624","44.37","171","194","179","48.86"
"310","Connor Mackey","CGY","D","6","72.216666666667","61","65","48.41","46","61","42.99","33","46","41.77","5","2","71.43","2.54","3.06","45.35","31","34","47.69","10","12","45.45","3","2","60.00","21","22","48.84","1","0","100.00","26","24","52.00","1","0","100.00","15.15","95.65","1.108","12","8","8","78","60.00","24","16","18","57.14"
"112","Connor Murphy","CHI","D","50","925.4","782","861","47.60","557","617","47.44","428","462","48.09","34","38","47.22","31.97","35.87","47.13","364","441","45.22","146","172","45.91","21","25","45.65","218","269","44.76","12","9","57.14","352","370","48.75","1","4","20.00","7.94","91.77","0.997","54","214","131","669","29.19","229","322","340","40.25"
"253","Conor Timmins","COL","D","31","390.98333333333","400","300","57.14","295","229","56.30","205","161","56.01","17","12","58.62","16.73","12.34","57.54","182","139","56.70","80","54","59.70","12","5","70.59","102","85","54.55","3","3","50.00","181","141","56.21","2","4","33.33","8.29","92.55","1.008","34","59","36","394","48.57","80","98","99","44.69"
"167","Dakota Mermis","MIN","D","3","47","36","32","52.94","28","23","54.90","24","16","60.00","3","3","50.00","2.25","1.32","62.91","20","15","57.14","9","5","64.29","2","0","100.00","11","10","52.38","1","1","50.00","11","14","44.00","0","2","0.00","12.50","81.25","0.938","6","10","9","27","40.00","18","14","18","50.00"
"132","Damon Severson","N.J","D","56","979.76666666667","921","821","52.87","694","655","51.45","499","492","50.35","32","38","45.71","39.24","36.04","52.13","449","394","53.26","155","149","50.99","13","22","37.14","294","245","54.55","13","9","59.09","428","390","52.32","6","7","46.15","6.41","92.28","0.987","124","190","139","680","47.15","302","283","311","49.27"
"222","Dan Renouf","COL","D","18","174.63333333333","169","138","55.05","128","102","55.65","97","78","55.43","7","8","46.67","7.44","5.1","59.32","84","59","58.74","31","24","56.36","3","4","42.86","53","35","60.23","4","2","66.67","80","67","54.42","0","2","0.00","7.22","89.74","0.970","9","25","23","189","28.13","24","43","50","32.43"
"143","Danny DeKeyser","DET","D","47","718.26666666667","540","725","42.69","414","540","43.40","299","392","43.27","27","27","50.00","22.93","28.5","44.58","254","327","43.72","111","135","45.12","17","17","50.00","143","192","42.69","6","10","37.50","240","344","41.10","4","0","100.00","9.03","93.11","1.021","88","125","106","587","45.36","205","208","235","46.59"
"232","Dante Fabbro","NSH","D","40","667.26666666667","602","606","49.83","488","455","51.75","347","351","49.71","21","22","48.84","23.89","22.79","51.18","279","266","51.19","113","113","50.00","11","16","40.74","166","153","52.04","5","3","62.50","289","299","49.15","5","3","62.50","6.05","93.73","0.998","100","112","97","504","50.76","228","186","191","54.42"
"162","Darnell Nurse","EDM","D","56","1157.3833333333","1158","1109","51.08","893","884","50.25","666","667","49.96","71","56","55.91","52.57","49.61","51.45","577","536","51.84","230","211","52.15","29","30","49.15","347","325","51.64","34","16","68.00","498","496","50.10","6","10","37.50","10.66","91.60","1.023","142","206","109","663","56.57","381","348","306","55.46"
"263","David Farrance","NSH","D","2","29.9","20","31","39.22","18","22","45.00","14","18","43.75","2","0","100.00","1.09","1.2","47.67","14","11","56.00","6","6","50.00","2","0","100.00","8","5","61.54","0","0","-","4","18","18.18","0","0","-","14.29","100.00","1.143","4","3","4","28","50.00","6","7","8","42.86"
"73","David Savard","CBJ, T.B","D","54","924.53333333333","714","888","44.57","539","651","45.29","404","478","45.80","17","51","25.00","27.65","32.32","46.11","318","397","44.48","121","144","45.66","10","32","23.81","197","253","43.78","5","11","31.25","335","440","43.23","2","8","20.00","4.21","89.33","0.935","91","166","125","744","42.13","213","252","289","42.43"
"209","Dean Kukan","CBJ","D","35","482.5","380","430","46.91","300","318","48.54","229","229","50.00","16","19","45.71","15.74","16.9","48.22","176","202","46.56","68","75","47.55","7","11","38.89","108","127","45.96","7","5","58.33","175","196","47.17","2","3","40.00","6.99","91.70","0.987","68","92","47","435","59.13","133","126","102","56.60"
"238","Dennis Cholowski","DET","D","16","215.38333333333","173","234","42.51","131","181","41.99","104","130","44.44","6","6","50.00","7.16","10.25","41.14","77","113","40.53","28","43","39.44","4","4","50.00","49","70","41.18","2","2","50.00","77","109","41.40","0","0","-","5.77","95.38","1.012","41","31","17","169","70.69","77","44","55","58.33"
"206","Dennis Gilbert","COL","D","3","18","13","17","43.33","10","11","47.62","8","7","53.33","0","0","-","0.84","0.38","68.84","7","7","50.00","3","2","60.00","0","0","-","4","5","44.44","0","0","-","6","9","40.00","0","0","-","0.00","100.00","1.000","2","3","2","21","50.00","4","5","4","50.00"
"87","Derek Forbort","WPG","D","56","968.21666666667","797","856","48.22","582","623","48.30","433","430","50.17","39","42","48.15","32.53","37.82","46.24","404","465","46.49","164","182","47.40","26","23","53.06","240","283","45.89","10","15","40.00","341","336","50.37","3","3","50.00","9.01","90.23","0.992","109","207","131","809","45.42","271","317","246","52.42"
"182","Devon Toews","COL","D","53","1006.1666666667","1076","706","60.38","800","519","60.65","569","375","60.28","54","34","61.36","45.11","26.39","63.09","542","310","63.62","206","126","62.05","25","18","58.14","336","184","64.62","20","11","64.52","469","314","59.90","9","5","64.29","9.49","90.93","1.004","172","219","110","661","60.99","379","366","260","59.31"
"64","Dmitry Kulikov","EDM, N.J","D","48","784.16666666667","728","635","53.41","554","496","52.76","398","364","52.23","27","32","45.76","30.51","25.06","54.90","335","285","54.03","127","112","53.14","15","15","50.00","208","173","54.59","10","10","50.00","345","312","52.51","2","7","22.22","6.78","91.21","0.980","75","190","155","549","32.61","202","259","284","41.56"
"69","Dmitry Orlov","WSH","D","51","898.01666666667","825","761","52.02","634","584","52.05","448","414","51.97","47","32","59.49","34.37","31.78","51.96","389","357","52.14","168","146","53.50","21","19","52.50","221","211","51.16","13","6","68.42","395","342","53.60","13","7","65.00","10.49","92.27","1.028","149","194","98","603","60.32","312","292","217","58.98"
