"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"172","Aaron Ekblad","FLA","D","35","605.18333333333","543","462","54.03","421","361","53.84","318","260","55.02","22","18","55.00","23.18","18.96","55.01","242","215","52.95","92","81","53.18","9","13","40.91","150","134","52.82","6","3","66.67","269","215","55.58","7","2","77.78","6.92","93.08","1.000","98","160","113","385","46.45","204","213","196","51.00"
"50","Aaron Ness","ARI","D","1","12.833333333333","14","12","53.85","13","10","56.52","9","8","52.94","0","0","-","1.4","0.54","72.14","10","7","58.82","5","2","71.43","0","0","-","5","5","50.00","0","0","-","4","5","44.44","0","0","-","0.00","100.00","1.000","2","3","3","10","40.00","4","4","6","40.00"
"288","Adam Boqvist","CHI","D","35","447.08333333333","383","401","48.85","280","307","47.70","217","227","48.87","19","21","47.50","15.91","18.12","46.75","200","209","48.90","69","80","46.31","8","12","40.00","131","129","50.38","9","5","64.29","159","163","49.38","2","4","33.33","8.76","90.75","0.995","67","94","36","380","65.05","162","146","99","62.07"
"223","Adam Fox","NYR","D","55","954.3","818","823","49.85","628","614","50.56","457","434","51.29","43","31","58.11","36.34","30.69","54.22","397","383","50.90","153","138","52.58","22","16","57.89","244","245","49.90","14","9","60.87","358","390","47.86","7","6","53.85","9.41","92.86","1.023","121","233","143","696","45.83","275","320","295","48.25"
"107","Adam Larsson","EDM","D","56","934.4","707","830","46.00","526","562","48.35","360","408","46.88","28","31","47.46","27.49","29.63","48.12","331","396","45.53","132","138","48.89","14","15","48.28","199","258","43.54","11","14","44.00","319","365","46.64","3","2","60.00","7.78","92.40","1.002","67","204","147","668","31.31","178","302","295","37.63"
"131","Adam Pelech","NYI","D","56","998.98333333333","891","823","51.98","674","608","52.57","504","439","53.45","45","32","58.44","40.58","28.92","58.39","485","365","57.06","207","119","63.50","32","17","65.31","278","246","53.05","7","7","50.00","353","403","46.69","6","8","42.86","8.93","92.71","1.016","78","216","158","772","33.05","237","329","321","42.47"
"35","Alec Martinez","VGK","D","53","940.18333333333","965","885","52.16","705","623","53.09","518","456","53.18","57","39","59.38","43.93","38.06","53.58","481","423","53.21","196","157","55.52","31","22","58.49","285","266","51.72","17","11","60.71","421","388","52.04","9","6","60.00","11.00","91.45","1.025","127","187","85","669","59.91","290","288","261","52.63"
"284","Alec Regula","CHI","D","3","35.316666666667","19","53","26.39","11","43","20.37","8","33","19.51","0","1","0.00","0.49","3.68","11.66","8","29","21.62","1","17","5.56","0","1","0.00","7","12","36.84","0","0","-","10","19","34.48","0","0","-","0.00","96.97","0.970","3","4","4","28","42.86","8","7","12","40.00"
"20","Alex Biega","DET","D","13","124.15","99","136","42.13","70","104","40.23","54","78","40.91","5","6","45.45","3.85","5.84","39.77","47","64","42.34","20","25","44.44","5","3","62.50","27","39","40.91","0","3","0.00","44","59","42.72","0","0","-","9.26","92.31","1.016","10","19","12","124","45.45","35","34","40","46.67"
"8","Alex Goligoski","ARI","D","56","1013.8166666667","893","932","48.93","659","686","49.00","458","485","48.57","48","43","52.75","38.92","38","50.60","402","489","45.12","179","187","48.91","25","20","55.56","223","302","42.48","16","18","47.06","424","380","52.74","7","5","58.33","10.48","91.13","1.016","165","189","122","714","57.49","341","314","319","51.67"
