"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"195","Mirco Mueller","N.J","D","50","745.26666666667","609","781","43.81","463","570","44.82","325","415","43.92","23","36","38.98","24.68","32.91","42.85","274","385","41.58","118","148","44.36","13","14","48.15","156","237","39.69","5","14","26.32","294","342","46.23","5","8","38.46","7.08","91.33","0.984","74","147","123","645","37.56","187","219","260","41.83"
"245","Sami Niku","WPG","D","17","259.26666666667","223","286","43.81","163","228","41.69","119","155","43.43","8","10","44.44","7.62","12.58","37.72","89","126","41.40","30","63","32.26","2","8","20.00","59","63","48.36","4","2","66.67","120","137","46.69","2","0","100.00","6.72","93.55","1.003","33","52","29","223","53.23","61","71","59","50.83"
"276","Timothy Liljegren","TOR","D","11","105.41666666667","79","102","43.65","57","82","41.01","41","52","44.09","3","8","27.27","2.73","4.68","36.81","38","47","44.71","10","22","31.25","2","5","28.57","28","25","52.83","0","1","0.00","35","48","42.17","1","2","33.33","7.32","84.62","0.919","6","20","10","108","37.50","19","27","20","48.72"
"74","Jordie Benn","VAN","D","44","600.91666666667","503","651","43.59","394","476","45.29","279","365","43.32","21","27","43.75","21.64","28.64","43.03","246","313","44.01","104","122","46.02","13","17","43.33","142","191","42.64","5","5","50.00","213","281","43.12","3","5","37.50","7.53","92.60","1.001","65","143","84","553","43.62","137","217","207","39.83"
"280","Oscar Fantenberg","VAN","D","36","514.21666666667","416","540","43.51","317","389","44.90","226","295","43.38","13","23","36.11","17.14","21.68","44.14","182","258","41.36","73","92","44.24","10","14","41.67","109","166","39.64","1","5","16.67","195","238","45.03","2","4","33.33","5.75","92.20","0.980","32","126","85","445","27.35","97","186","209","31.70"
"26","Kris Russell","EDM","D","55","776.3","557","725","43.45","421","505","45.46","300","355","45.80","20","21","48.78","24.43","28.58","46.08","278","344","44.69","114","129","46.91","10","11","47.62","164","215","43.27","8","9","47.06","239","324","42.45","2","1","66.67","6.67","94.08","1.008","83","172","112","603","42.56","188","260","248","43.12"
"41","Brendan Smith","NYR","D","62","551.61666666667","423","552","43.38","328","404","44.81","235","285","45.19","11","25","30.56","15.95","23.06","40.89","182","255","41.65","77","113","40.53","6","15","28.57","105","142","42.51","3","8","27.27","205","251","44.96","2","2","50.00","4.68","91.23","0.959","64","100","65","513","49.61","129","137","145","47.08"
"69","Greg Pateryn","MIN","D","20","257.96666666667","226","296","43.30","167","203","45.14","121","136","47.08","12","11","52.17","7.41","9.91","42.79","99","116","46.05","36","36","50.00","4","5","44.44","63","80","44.06","7","5","58.33","112","146","43.41","0","1","0.00","9.92","91.91","1.018","25","65","25","195","50.00","62","93","72","46.27"
"231","Jacob Larsson","ANA","D","60","881.76666666667","712","934","43.26","537","720","42.72","371","500","42.59","31","41","43.06","30.7","40.22","43.29","359","454","44.16","164","190","46.33","15","24","38.46","195","264","42.48","14","13","51.85","311","415","42.84","2","4","33.33","8.36","91.80","1.002","107","170","92","802","53.77","212","263","240","46.90"
"295","Lawrence Pilut","BUF","D","13","185.21666666667","116","153","43.12","91","121","42.92","64","83","43.54","3","7","30.00","4.29","5.82","42.45","55","57","49.11","21","21","50.00","2","2","50.00","34","36","48.57","0","3","0.00","55","89","38.19","1","2","33.33","4.69","91.57","0.963","17","45","35","138","32.69","45","62","60","42.86"
"109","Jarred Tinordi","NSH","D","28","411.7","338","448","43.00","262","340","43.52","184","248","42.59","17","20","45.95","16.21","18.51","46.69","167","228","42.28","69","92","42.86","10","11","47.62","98","136","41.88","4","6","40.00","150","187","44.51","3","3","50.00","9.24","91.94","1.012","50","80","60","310","45.45","112","124","143","43.92"
"22","Marc Staal","NYR","D","52","747.71666666667","616","819","42.93","481","618","43.77","353","435","44.80","27","27","50.00","26.53","34.25","43.65","318","386","45.17","133","170","43.89","20","13","60.61","185","216","46.13","5","7","41.67","250","372","40.19","2","7","22.22","7.65","93.79","1.014","88","121","100","662","46.81","194","184","208","48.26"
"299","Otto Leskinen","MTL","D","5","50.766666666667","36","48","42.86","24","42","36.36","20","30","40.00","2","2","50.00","1.45","1.5","49.26","16","18","47.06","7","7","50.00","2","1","66.67","9","11","45.00","0","1","0.00","17","25","40.48","0","0","-","10.00","93.33","1.033","9","6","6","38","60.00","12","11","14","46.15"
"9","Jonathan Ericsson","DET","D","18","226.11666666667","177","240","42.45","143","184","43.73","105","134","43.93","2","14","12.50","7.05","11.47","38.08","81","122","39.90","29","44","39.73","1","8","11.11","52","78","40.00","0","4","0.00","82","109","42.93","1","2","33.33","1.90","89.55","0.915","29","44","29","205","50.00","64","62","65","49.61"
"233","Dennis Gilbert","CHI","D","21","291.95","227","309","42.35","168","231","42.11","124","182","40.52","10","19","34.48","10.23","13.91","42.36","113","152","42.64","45","70","39.13","5","11","31.25","68","82","45.33","2","4","33.33","97","132","42.36","3","4","42.86","8.06","89.56","0.976","22","40","32","277","40.74","71","79","89","44.38"
"34","Korbinian Holzer","ANA, NSH","D","49","678.35","528","727","42.07","397","538","42.46","279","374","42.73","18","23","43.90","21.31","30.41","41.20","232","344","40.28","104","145","41.77","10","17","37.04","128","199","39.14","3","3","50.00","261","333","43.94","5","3","62.50","6.45","93.85","1.003","72","130","98","672","42.35","149","203","205","42.09"
"294","Jordan Gross","ARI","D","2","30.733333333333","30","43","41.10","24","38","38.71","19","27","41.30","3","2","60.00","0.92","2.01","31.44","12","24","33.33","6","11","35.29","1","1","50.00","6","13","31.58","1","1","50.00","16","18","47.06","1","0","100.00","15.79","92.59","1.084","8","5","5","25","61.54","11","6","9","55.00"
"5","Trevor Daley","DET","D","43","591.35","421","607","40.95","325","471","40.83","242","343","41.37","16","36","30.77","17.56","24.53","41.72","201","301","40.04","80","116","40.82","9","22","29.03","121","185","39.54","5","5","50.00","181","275","39.69","2","9","18.18","6.61","89.50","0.961","86","143","80","555","51.81","154","192","189","44.90"
"156","Connor Carrick","N.J","D","29","391.31666666667","294","434","40.38","219","330","39.89","165","246","40.15","13","20","39.39","12.84","18.18","41.39","141","196","41.84","65","73","47.10","9","14","39.13","76","123","38.19","2","5","28.57","134","205","39.53","2","1","66.67","7.88","91.87","0.997","32","72","42","371","43.24","92","116","121","43.19"
"168","Ashton Sautner","VAN","D","1","2.8166666666667","2","3","40.00","1","3","25.00","1","2","33.33","0","0","-","0","0.16","2.19","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","1","2","33.33","0","0","-","0.00","100.00","1.000","1","0","0","3","100.00","1","0","1","50.00"
"169","Danny DeKeyser","DET","D","8","140.48333333333","106","159","40.00","80","118","40.40","52","91","36.36","6","9","40.00","3.97","6.75","37.05","42","61","40.78","14","22","38.89","4","6","40.00","28","39","41.79","2","2","50.00","57","87","39.58","0","1","0.00","11.54","90.11","1.016","13","27","23","125","36.11","24","43","62","27.91"
"273","Urho Vaakanainen","BOS","D","5","74.583333333333","55","84","39.57","41","67","37.96","26","42","38.24","3","1","75.00","2.16","3.62","37.40","27","44","38.03","10","12","45.45","2","1","66.67","17","32","34.69","0","0","-","27","33","45.00","1","0","100.00","11.54","97.62","1.092","9","15","5","67","64.29","21","20","15","58.33"
"210","Mark Friedman","PHI","D","6","80.533333333333","56","86","39.44","43","63","40.57","25","50","33.33","2","2","50.00","2.11","3.51","37.50","21","34","38.18","12","12","50.00","2","2","50.00","9","22","29.03","0","0","-","27","42","39.13","0","0","-","8.00","96.00","1.040","18","18","19","59","48.65","27","27","32","45.76"
"207","Josh Jacobs","N.J","D","2","32.5","27","42","39.13","19","26","42.22","15","20","42.86","1","0","100.00","1.26","1.24","50.49","14","17","45.16","7","5","58.33","1","0","100.00","7","12","36.84","0","0","-","10","23","30.30","0","0","-","6.67","100.00","1.067","5","3","2","30","71.43","12","5","13","48.00"
"121","Nick Seeler","CHI, MIN","D","12","133.61666666667","107","167","39.05","82","121","40.39","50","87","36.50","2","10","16.67","4.42","6.86","39.16","57","84","40.43","23","32","41.82","1","5","16.67","34","52","39.53","0","2","0.00","43","74","36.75","1","3","25.00","4.00","88.51","0.925","17","18","11","125","60.71","38","30","30","55.88"
"301","Tobias Bjornfot","L.A","D","3","35.9","26","43","37.68","17","33","34.00","12","22","35.29","0","4","0.00","0.69","2.03","25.40","9","21","30.00","2","7","22.22","0","1","0.00","7","14","33.33","0","1","0.00","15","19","44.12","0","2","0.00","0.00","81.82","0.818","8","11","3","30","72.73","15","14","13","53.57"
"251","Libor Hajek","NYR","D","28","407.48333333333","293","487","37.56","237","367","39.24","169","254","39.95","15","21","41.67","12.9","21.56","37.44","137","247","35.68","63","104","37.72","11","10","52.38","74","143","34.10","3","7","30.00","127","213","37.35","1","4","20.00","8.88","91.73","1.006","31","112","60","322","34.07","94","158","128","42.34"
"184","Gustav Olofsson","MTL","D","3","24.316666666667","17","37","31.48","12","25","32.43","6","18","25.00","0","4","0.00","0.33","1.06","23.61","4","17","19.05","0","5","0.00","0","1","0.00","4","12","25.00","0","3","0.00","13","17","43.33","0","0","-","0.00","77.78","0.778","6","7","2","17","75.00","8","12","4","66.67"
"237","Colton White","N.J","D","6","75.4","44","100","30.56","31","73","29.81","23","56","29.11","2","4","33.33","1.78","4.04","30.59","24","50","32.43","8","14","36.36","1","3","25.00","16","36","30.77","1","0","100.00","19","42","31.15","0","1","0.00","8.70","92.86","1.016","7","16","13","80","35.00","20","23","28","41.67"
