"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"182","Robert Hagg","PHI","D","49","697","548","678","44.70","417","496","45.67","294","371","44.21","33","20","62.26","22.87","27.25","45.63","258","304","45.91","112","119","48.48","16","13","55.17","146","185","44.11","11","3","78.57","237","315","42.93","6","4","60.00","11.22","94.61","1.058","139","166","104","565","57.20","230","239","228","50.22"
"284","Gustav Lindstrom","DET","D","16","224.2","177","219","44.70","137","168","44.92","112","111","50.22","2","7","22.22","7.14","9.44","43.08","95","108","46.80","31","46","40.26","1","5","16.67","64","62","50.79","1","1","50.00","71","102","41.04","0","1","0.00","1.79","93.69","0.955","32","46","28","199","53.33","74","60","68","52.11"
"60","Cody Goloubef","DET, OTT","D","26","346.83333333333","293","364","44.60","215","270","44.33","153","191","44.48","13","18","41.94","10.85","14.19","43.33","125","177","41.39","51","77","39.84","6","14","30.00","74","100","42.53","5","3","62.50","137","160","46.13","2","1","66.67","8.50","90.58","0.991","43","75","42","286","50.59","113","120","99","53.30"
"153","Adam Pelech","NYI","D","38","660.78333333333","538","671","44.50","389","472","45.18","283","343","45.21","26","26","50.00","23.08","23.97","49.06","258","319","44.71","121","124","49.39","19","17","52.78","137","195","41.27","2","5","28.57","233","295","44.13","5","4","55.56","9.19","92.42","1.016","57","125","121","509","32.02","133","190","255","34.28"
"120","Fredrik Claesson","N.J","D","5","67.3","55","69","44.35","44","53","45.36","34","39","46.58","4","2","66.67","3.39","2.48","57.74","32","24","57.14","17","7","70.83","2","1","66.67","15","17","46.88","1","1","50.00","22","36","37.93","1","0","100.00","11.76","94.87","1.066","4","6","4","68","50.00","14","13","16","46.67"
"12","Brent Seabrook","CHI","D","32","499.96666666667","441","556","44.23","324","414","43.90","249","315","44.15","17","18","48.57","16.43","23.43","41.22","196","276","41.53","80","119","40.20","10","12","45.45","116","157","42.49","4","5","44.44","199","241","45.23","3","1","75.00","6.83","94.29","1.011","54","91","76","420","41.54","145","147","190","43.28"
"234","Gabriel Carlsson","CBJ","D","6","60.666666666667","46","58","44.23","35","40","46.67","29","30","49.15","1","2","33.33","1.87","2.14","46.68","22","22","50.00","8","9","47.06","0","1","0.00","14","13","51.85","1","1","50.00","18","32","36.00","0","0","-","3.45","93.33","0.968","8","11","11","63","42.11","21","15","25","45.65"
"272","Mikey Anderson","L.A","D","6","95.066666666667","79","100","44.13","61","67","47.66","46","46","50.00","5","2","71.43","3.18","3.87","45.06","26","50","34.21","10","17","37.04","3","0","100.00","16","33","32.65","0","0","-","47","31","60.26","2","2","50.00","10.87","95.65","1.065","11","17","9","67","55.00","24","36","21","53.33"
"186","Madison Bowey","DET","D","53","812.41666666667","612","775","44.12","475","604","44.02","349","436","44.46","34","48","41.46","26.39","36.62","41.88","290","391","42.58","122","179","40.53","17","26","39.53","168","212","44.21","11","14","44.00","281","348","44.67","6","7","46.15","9.74","88.99","0.987","104","166","73","679","58.76","206","244","194","51.50"
"193","Ryan Pulock","NYI","D","68","1228","1014","1289","44.03","761","909","45.57","570","620","47.90","61","56","52.14","43","45.88","48.38","493","609","44.74","219","238","47.92","37","28","56.92","274","371","42.48","13","15","46.43","442","579","43.29","11","13","45.83","10.70","90.97","1.017","113","236","204","894","35.65","274","367","421","39.42"
"20","Roman Polak","DAL","D","41","549.08333333333","443","565","43.95","326","395","45.21","244","270","47.47","13","21","38.24","18.38","21.86","45.68","215","269","44.42","95","107","47.03","7","15","31.82","120","162","42.55","5","2","71.43","187","243","43.49","1","3","25.00","5.33","92.22","0.976","63","129","90","467","41.18","116","189","174","40.00"
"70","Mark Borowiecki","OTT","D","53","799.9","668","853","43.92","534","609","46.72","382","432","46.93","29","38","43.28","30.11","32","48.48","335","408","45.09","148","164","47.44","13","24","35.14","187","244","43.39","10","11","47.62","267","363","42.38","6","3","66.67","7.59","91.20","0.988","59","192","125","732","32.07","170","295","292","36.80"
